2019-04-11 17:23:57,149 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:23:57,150 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:23:57,153 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:24:34,224 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:24:34,228 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:24:34,230 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:24:34,232 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:13,600 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:13,603 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:13,606 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:13,610 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:36,212 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:36,215 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:36,217 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:36,220 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:53,198 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:53,201 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:25:53,203 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:25:53,205 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:26:24,646 [Worker-68: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:26:24,649 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:26:24,650 [Worker-68: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:26:24,652 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:29:30,950 [Worker-64: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:29:30,953 [Worker-64: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:29:30,954 [Worker-64: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:29:30,957 [Worker-64: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:30:40,952 [Worker-74: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:30:40,955 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:30:40,957 [Worker-74: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:30:40,960 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:37:03,791 [Worker-76: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:37:03,793 [Worker-76: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:37:03,794 [Worker-76: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:37:03,796 [Worker-76: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
